¿Deseas salvar el último combate\xfffecomo tu Video Combate？
Sí
No
El último combate no será salvado\xfffe¿De acuerdo？
Sí
No
¿Sobreescribir el Video Combate\xfffeexistente？
Sí
No
Salvando Video Combate...\xfffeNo apagues la consola
El Video Combate ha sido guardado.
Ha habido un error\xfffeEl Video Combate no puede ser salvado.
Esperando la decisión de tu amigo...\xfffePor favor espera.
No puedes salvar videos con\xfffeeste entrenador... Por favor espera.
No puesdes salvar videos con este entrenador.
La última batalla no puede ser salvada.
Tiempo Límite:
\xf000ȁ\x0001\x0000:\xf000ȁ\x0001\x0001
\xf000ȁ\x0001\x0001
GRABACIÓN ANTERIOR
Coliseo Simple,\xfffeSin Restricciones
Coliseo Individual,\xfffeCon restricciones
Coliseo Individual,\xfffeSin restricciones con Lanzador
Coliseo Individual,\xfffeCon restricciones con Lanzador
Coliseo Doble,\xfffeSin restricciones
Coliseo Doble,\xfffeCon restricciones
Coliseo Doble,\xfffeSin restricciones con Lanzador
Coliseo Doble,\xfffeCon restricciones con Lanzador
Coliseo Triple,\xfffeSin restricciones
Coliseo Triple,\xfffeCon restricciones
Coliseo Triple,\xfffeSin restricciones con Lanzador
Coliseo Triple,\xfffeCon restricciones con Lanzador
Coliseo Rotatorio,\xfffeSin restricciones
Coliseo Rotatorio,\xfffeCon restricciones
Coliseo Rotatorio,\xfffeSin restricciones con Lanzador
Coliseo Rotatorio,\xfffeCon restricciones con Lanzador
Coliseo Multiple,\xfffeSin restricciones
Coliseo Multiple,\xfffeCon restricciones
Coliseo Multiple,\xfffeSin restricciones con Lanzador
Coliseo Multiple,\xfffeCon restricciones con Lanzador
Metro Batalla,\xfffeIndividual
Metro Batalla,\xfffeDoble
Metro Batalla,\xfffeMúltiple
Emparejamiento Aleatorio Libre,\xfffeIndividual
Emparejamiento Aleatorio Libre,\xfffeDoble
Emparejamiento Aleatorio Libre,\xfffeTriple
Emparejamiento Aleatorio Libre,\xfffeRotatorio
Emparejamiento Aleatorio Libre,\xfffeLanzador
Emparejamiento Aleatorio con Puntos,\xfffeIndividual
Emparejamiento Aleatorio con Puntos,\xfffeDoble
Emparejamiento Aleatorio con Puntos,\xfffeTriple
Emparejamiento Aleatorio con Puntos,\xfffeRotatorio
Emparejamiento Aleatorio con Puntos,\xfffeLanzador
Torneo Individual,\xfffeSin Lanzador
Torneo Individual,\xfffeCon Lanzador
Torneo Doble,\xfffeSin Lanzador
Torneo Doble,\xfffeCon Lanzador
Torneo Triple,\xfffeSin Lanzador
Torneo Triple,\xfffeCon Lanzador
Torneo Rotatorio,\xfffeSin Lanzador
Torneo Rotatorio,\xfffeCon Lanzador
